start_station_name,Number of rides,latitude,longitude
"Southwark Station 2, Southwark",55,51.504044,-0.104778
"Palace Gate, Kensington Gardens",55,51.50204238,-0.184400221
"Smith Square, Westminster",54,51.49580589,-0.127575233
"Tysoe Street, Clerkenwell",54,51.52644342,-0.109256828
"Whitehall Place, Strand",54,51.50654321,-0.123179697
"Drummond Street , Euston",54,51.527326,-0.13605286
"Islington Green, Angel",54,51.53638435,-0.102757578
"Chadwell Street, Angel",54,51.53051587,-0.106408455
"Pritchard's Road, Bethnal Green",53,51.532091,-0.06142
"Shoreditch Park, Hoxton",53,51.53404294,-0.086379717
"Wellington Arch, Hyde Park",52,51.50274025,-0.149569201
"Great Titchfield Street, Fitzrovia",52,51.52025302,-0.141327271
"Kensington Church Street, Kensington",52,51.50315739,-0.191496313
"Tavistock Place, Bloomsbury",51,51.5262503,-0.123509611
"Hampstead Road, Euston",51,51.52554222,-0.138231303
"Boston Place, Marylebone",51,51.522511,-0.162298
"Golden Square, Soho",50,51.5118973,-0.137043852
"Hinde Street, Marylebone",50,51.51681444,-0.151926305
"Triangle Car Park, Hyde Park",49,51.50645179,-0.170279555
"Queen Mother Sports Centre, Victoria",49,51.49357351,-0.139956043
"Broadwick Street, Soho",49,51.5136846,-0.135580879
"Webber Street , Southwark",49,51.50069361,-0.102091246
"Kingsway Southbound, Strand",49,51.513875,-0.117774
"New Cavendish Street, Marylebone",48,51.519167,-0.147983
"Liverpool Road (N1 Centre), Angel",48,51.53450449,-0.106992706
"Northington Street , Holborn",48,51.5222641,-0.114079481
"Holy Trinity Brompton, Knightsbridge",48,51.49705603,-0.168917077
"Gloucester Street, Pimlico",47,51.49096258,-0.139625122
"Dorset Square, Marylebone",47,51.5225965,-0.161113413
"Bricklayers Arms, Borough",47,51.49506109,-0.085814489
"Brunswick Square, Bloomsbury",47,51.52395143,-0.122502346
"Empire Square, The Borough",46,51.50082346,-0.089740764
"Milroy Walk, South Bank",46,51.50724437,-0.106237501
"Great Russell Street, Bloomsbury",46,51.51772703,-0.127854211
"Granby Street, Shoreditch",45,51.525645,-0.069543
"Queen's Gate, Kensington Gardens",45,51.5017154373867,-0.1798541843891
"Wood Street, Guildhall",45,51.51700801,-0.09388536
"Flood Street, Chelsea",45,51.48802358,-0.166878535
"Erin Close, Walham Green",45,51.47946386,-0.195777222
"Westbridge Road, Battersea",45,51.47768469,-0.170329317
"Portland Place, Marylebone",45,51.52071513,-0.14521173
"Elizabeth Bridge, Victoria",45,51.49236962,-0.147478734
"Southwick Street, Paddington",45,51.51595344,-0.169249375
"St. George's Square, Pimlico",45,51.488226,-0.135635511
"St. Mary Axe, Aldgate",44,51.51422502,-0.080660083
"Montpelier Street, Knightsbridge",44,51.49888404,-0.165471605
"Fire Brigade Pier, Vauxhall",44,51.49369988,-0.121394101
"Old Quebec Street, Marylebone",44,51.51457763,-0.158264483
"Finsbury Library , Finsbury",44,51.52671796,-0.104298194
"Horseferry Road, Westminster",43,51.49481649,-0.13045856
"Fournier Street, Whitechapel",43,51.519362,-0.074431
"New Inn Yard, Shoreditch",43,51.52452699,-0.079248081
"Charlotte Street, Fitzrovia",43,51.51953043,-0.13577731
"Red Lion Square, Holborn",43,51.51943538,-0.119123345
"Roscoe Street, St. Luke's",43,51.52295439,-0.094934859
"Bell Lane, Liverpool Street",43,51.517475,-0.075855
"St. Chad's Street, King's Cross",43,51.53005939,-0.120973687
"Ontario Street, Elephant & Castle",43,51.49652013,-0.101384068
"Norton Folgate, Liverpool Street",42,51.52111369,-0.078869751
"Hammersmith Road, Hammersmith",42,51.493267,-0.21985
"Pall Mall East, West End",42,51.50777049,-0.130699733
"Page Street, Westminster",42,51.493978,-0.127554
"Dunston Road , Haggerston",42,51.53658514,-0.075885686
"Chapel Place, Marylebone",42,51.51530805,-0.147203711
"Frith Street, Soho",42,51.51310333,-0.13121385
"Hortensia Road, West Brompton",42,51.48176572,-0.185273723
"Southampton Street, Strand",42,51.51070161,-0.121723604
"Waterloo Place, St. James's",42,51.50663341,-0.131773845
"Ilchester Gardens, Bayswater",42,51.51244,-0.19096
"Scala Street, Fitzrovia",41,51.51991453,-0.136039674
"Bell Street , Marylebone",41,51.52202903,-0.165842551
"Wenlock Road , Hoxton",41,51.53099181,-0.093903825
"Windsor Terrace, Hoxton",41,51.52915444,-0.093421615
"Rathbone Street, Fitzrovia",41,51.51816295,-0.135025698
"Poured Lines, Bankside",41,51.50669284,-0.103137426
"Marylebone Lane, Marylebone",41,51.51475963,-0.148105415
"Earnshaw Street , Covent Garden",41,51.51611887,-0.128585022
"New Globe Walk, Bankside",40,51.5073853,-0.096440751
"George Street, Marylebone",40,51.517703,-0.154106
"Northdown Street, King's Cross",40,51.531066,-0.11934
"Royal College Street, Camden Town",40,51.536264,-0.133952
"Eaton Square, Belgravia",40,51.49654462,-0.150905245
"Tallis Street, Temple",40,51.511891,-0.107349
"Tanner Street, Bermondsey",40,51.50064702,-0.078600401
"The Vale, Chelsea",40,51.48512191,-0.174971902
"Wright's Lane, Kensington",40,51.50039792,-0.193068385
"Great Suffolk Street, The Borough",40,51.50173215,-0.100292412
"Swan Street, The Borough",39,51.50029631,-0.092762704
"Falcon Road, Clapham Junction",39,51.46663393,-0.169821175
"Gloucester Road (North), Kensington",39,51.49792478,-0.183834706
"Shadwell Station, Shadwell",39,51.511088,-0.057159
"Watney Street, Shadwell",39,51.511542,-0.056667
"Ethelburga Estate, Battersea Park",39,51.47729232,-0.16478637
"Butler Place, Westminster",39,51.49782999,-0.135440826
"Jewry Street, Aldgate",39,51.51340693,-0.076793375
"Pott Street, Bethnal Green",39,51.527152,-0.058005
"Rampayne Street, Pimlico",39,51.48997562,-0.132845681
"Queen's Circus, Battersea Park",39,51.47761941,-0.149551631
"Lancaster Gate , Bayswater",39,51.511654,-0.179668
"Crinan Street, King's Cross",38,51.534474,-0.122203
"Fulham Broadway, Walham Green",38,51.47993289,-0.19411695
"Devonshire Terrace, Bayswater",38,51.51348,-0.17977
"Wellington Row, Bethnal Green",38,51.528222,-0.069743
"Imperial Road, Sands End",38,51.47514228,-0.187278987
"Ampton Street , Clerkenwell",38,51.52728093,-0.11829517
"Torrens Street, Angel",38,51.53219984,-0.105480698
"Monument Street, Monument",37,51.50964,-0.08497
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256
"Prince Consort Road, Knightsbridge",37,51.49980661,-0.176415994
"Hertford Road, De Beauvoir Town",37,51.53727795,-0.079201849
"Hereford Road, Bayswater",37,51.513735,-0.193487
"York Hall, Bethnal Green",37,51.528936,-0.055894
"Clifton Road, Maida Vale",37,51.52557531,-0.179592915
"Eastbourne Mews, Paddington",37,51.51641749,-0.179135079
"Baker Street, Marylebone",36,51.51891348,-0.156166631
"Bury Place, Holborn",36,51.51746,-0.12335
"St. John Street, Finsbury",36,51.52836014,-0.104724625
"Sedding Street, Sloane Square",36,51.49313,-0.156876
"Flamborough Street, Limehouse",36,51.5128711,-0.0389866
"Bonny Street, Camden Town",36,51.541603,-0.138853
"Jubilee Street, Stepney",36,51.515975,-0.053177
"Beaumont Street, Marylebone",35,51.52200801,-0.151359288
"Crawford Street, Marylebone",35,51.52026,-0.157183945
"Parsons Green Station, Parsons Green",35,51.475089,-0.201968
"Greenland Road, Camden Town",35,51.539099,-0.141728
"King Edward Street, St Pauls",35,51.51601,-0.0985
"East Road, Hoxton",35,51.52867339,-0.087459376
"Carey Street, Holborn",35,51.51501025,-0.112753217
"Seymour Place, Marylebone",35,51.520331,-0.163667
"All Saints Church, Portobello",35,51.51632095,-0.202608612
"Newton Street, Covent Garden",35,51.51612862,-0.120909408
"Union Street, The Borough",35,51.50368837,-0.098497684
"Cloudesley Road, Angel",35,51.53440868,-0.109025404
"Great Percy Street, Clerkenwell",35,51.52891573,-0.115480888
"St. John's Wood Road, St. John's Wood",34,51.5272947,-0.174653609
"Victoria Park Road, Hackney Central",34,51.53642464,-0.054162264
"Clifton Street, Shoreditch",34,51.523196,-0.083067
"New Road 1 , Whitechapel",34,51.518154,-0.062697
"Old Brompton Road, South Kensington",34,51.49094565,-0.181190899
"Baldwin Street, St. Luke's",34,51.52702563,-0.088542771
"Pancras Road, King's Cross",34,51.5341235,-0.129386874
"Cheshire Street, Bethnal Green",34,51.52388,-0.065076
"Parson's Green , Parson's Green",33,51.472817,-0.199783
"Lexham Gardens, Kensington",33,51.49586666,-0.191933711
"Buckingham Gate, Westminster",33,51.49886563,-0.137424571
"Chelsea Bridge, Pimlico",33,51.485821,-0.149004
"Waterloo Bridge, South Bank",33,51.50535447,-0.113656543
"Euston Road, Euston",33,51.5262363,-0.134407652
"Tachbrook Street, Victoria",33,51.49211134,-0.138364847
"High Holborn , Covent Garden",32,51.516226,-0.124826
"Christian Street, Whitechapel",32,51.513074,-0.064094
"Sackville Street, Mayfair",32,51.51004801,-0.138846453
"LMU Commercial Road, Whitechapel",32,51.51492456,-0.066078037
"Kennington Oval, Oval",32,51.483145,-0.113134
"Hardwick Street, Clerkenwell",32,51.52784273,-0.108068155
"Castlehaven Road, Camden Town",32,51.542138,-0.145393
"Macclesfield Rd, St Lukes",32,51.529423,-0.097122
"Battersea Church Road, Battersea",32,51.47696496,-0.174347066
"Turquoise Island, Notting Hill",32,51.51431171,-0.200838199
"Farringdon Lane, Clerkenwell",32,51.52352001,-0.108340165
"Goswell Road (City Uni), Finsbury",32,51.528246,-0.10102611
"Bedford Way, Bloomsbury",32,51.52367314,-0.128377673
"Greycoat Street , Westminster",32,51.49459148,-0.134234258
"St. George Street, Mayfair",32,51.51196,-0.142783033
"Fanshaw Street, Hoxton",32,51.52953709,-0.083353323
"Ada Street, Hackney Central",31,51.53571683,-0.060291813
"Warwick Avenue Station, Maida Vale",31,51.52334476,-0.183846408
"Westferry DLR, Limehouse",31,51.509303,-0.025996
"Houghton Street, Strand",31,51.51362054,-0.116764211
"Serpentine Car Park, Hyde Park",31,51.505014,-0.17306032
"Black Prince Road, Vauxhall",31,51.4908679,-0.116911864
"Gloucester Avenue, Camden Town",31,51.537349,-0.147154
"Westbourne Grove, Bayswater",31,51.51552971,-0.190240716
"Sloane Avenue, Knightsbridge",31,51.4931848,-0.167894973
"Bramham Gardens, Earl's Court",30,51.49016361,-0.19039362
"Fashion Street, Whitechapel",30,51.51838043,-0.073438925
"Tyers Gate, Bermondsey",30,51.50088934,-0.083159352
"Claremont Square, Angel",30,51.53166681,-0.109914711
"Chancery Lane, Holborn",30,51.514274,-0.111257
"Binfield Road, Stockwell",30,51.47250956,-0.122831913
"Portman Square, Marylebone",30,51.516204,-0.155525
"Vincent Street, Pimlico",30,51.493072,-0.129925
"Phillimore Gardens, Kensington",30,51.49960695,-0.197574246
"Kennington Road  , Vauxhall",30,51.49571828,-0.110889274
"Rochester Row, Westminster",30,51.49582705,-0.13547809
"Rodney Road , Walworth",30,51.49148474,-0.090220911
"Barons Court Station, West Kensington",29,51.49021762,-0.215087092
"Long Lane , Bermondsey",29,51.49907558,-0.085666316
"Commercial Street, Shoreditch",29,51.52127071,-0.0755789
"Snowsfields, London Bridge",29,51.50215353,-0.083632928
"Harrowby Street, Marylebone",29,51.5173721,-0.1642075
"Blenheim Crescent, Ladbroke Grove",29,51.51510818,-0.208565479
"Nutford Place, Marylebone",29,51.5165179,-0.164393768
"Archbishop's Park, Waterloo",29,51.49824168,-0.117495865
"Barbican Centre, Barbican",29,51.52004497,-0.092176447
"Bancroft Road, Bethnal Green",29,51.526041,-0.047218
"North Wharf Road, Paddington",29,51.51862243,-0.176645823
"Queen's Gate (Central), South Kensington",29,51.49396755,-0.17873226
"Upcerne Road, West Chelsea",29,51.47816972,-0.18243547
"Palace Gardens Terrace, Notting Hill",29,51.50860544,-0.193764092
"Lower Marsh, Waterloo",29,51.50013942,-0.113936001
"Albert Embankment, Vauxhall",28,51.49043573,-0.122806861
"Furze Green, Bow",28,51.519265,-0.021345
"Alderney Street, Pimlico",28,51.48805753,-0.140741432
"Park Street, Bankside",28,51.50597426,-0.092754157
"Percival Street, Finsbury",28,51.526153,-0.102208
"West Cromwell Road, Earl's Court",28,51.49372451,-0.198286569
"Grosvenor Square, Mayfair",28,51.51217033,-0.150481272
"Carnegie Street, King's Cross",28,51.53546778,-0.11619105
"Falkirk Street, Hoxton",28,51.53095071,-0.078505384
"Woodstock Grove, Shepherd's Bush",28,51.50403821,-0.217400093
"Haggerston Road, Haggerston",28,51.53932857,-0.074284675
"Brook Green South, Brook Green",28,51.49434708,-0.215804559
"Twig Folly Bridge, Mile End",27,51.530326,-0.042744
"Southwark Station 1, Southwark",27,51.504043,-0.105312
"Harriet Street, Knightsbridge",27,51.50024195,-0.15934065
"Ebury Bridge, Pimlico",27,51.490491,-0.149186
"Lambeth North Station, Waterloo",27,51.49914063,-0.112031483
"Warwick Square, Pimlico",27,51.48985626,-0.141923621
"Greyhound Road, Hammersmith",27,51.48606206,-0.214428378
"Knightsbridge, Hyde Park",27,51.50275704,-0.155349725
"Millennium Hotel, Mayfair",27,51.5109192966489,-0.1511263847351
"St. Peter's Terrace, Fulham",27,51.47893931,-0.208485293
"The Guildhall, Guildhall",27,51.51573534,-0.093080779
"Reardon Street, Wapping",27,51.506946,-0.058681
"Queen's Gate (North), Kensington",27,51.50102668,-0.180246101
"George Place Mews, Marylebone",27,51.51689296,-0.158249929
"Michael Road, Walham Green",27,51.47727637,-0.189210466
"Coomer Place, West Kensington",27,51.48357068,-0.202038682
"Manresa Road, Chelsea",26,51.486892,-0.170983
"Margery Street, Clerkenwell",26,51.52659961,-0.112432615
"Grant Road East, Clapham Junction",26,51.46489445,-0.17302926
"Old Ford Road, Bethnal Green",26,51.531127,-0.048017
"Silverthorne Road, Battersea",26,51.47286577,-0.148059277
"Seville Street, Knightsbridge",26,51.50185512,-0.159237081
"Queen's Gate (South), South Kensington",26,51.49247977,-0.178433004
"World's End Place, West Chelsea",26,51.48180515,-0.18027465
"Philpot Street, Whitechapel",26,51.515256,-0.058641
"Putney Bridge Station, Fulham",26,51.468814,-0.210279
"Prince of Wales Drive, Battersea Park",25,51.47515398,-0.159169801
"Pont Street, Knightsbridge",25,51.4968865,-0.161203828
"Charles II Street, West End",25,51.50844614,-0.131961389
"Northumberland Avenue, Strand",25,51.506767,-0.123702
"Walnut Tree Walk, Vauxhall",25,51.49368637,-0.111014912
"Parkway, Camden Town",25,51.538071,-0.144664
"Panton Street, West End",25,51.50963938,-0.131510949
"Old Montague Street, Whitechapel",25,51.51793,-0.067937
"Borough Road, Elephant & Castle",25,51.49889832,-0.100440521
"Grove End Road, St. John's Wood",25,51.53088935,-0.176770502
"Lower Thames Street, Monument",25,51.50930161,-0.084985356
"Guildhouse Street, Victoria",25,51.49234577,-0.141334487
"Westminster University, Marylebone",25,51.52248185,-0.154907218
"Eversholt Street , Camden Town",25,51.53300545,-0.136792671
"Kensington Gore, Knightsbridge",25,51.50143293,-0.178656971
"Gloucester Road (Central), South Kensington",25,51.49646288,-0.183289032
"William Morris Way, Sands End",25,51.46881971,-0.184318843
"South Park, Sands End",24,51.46706414,-0.193502076
"Bow Road Station, Bow",24,51.527058,-0.025296
"Murray Grove , Hoxton",24,51.53089041,-0.089782579
"Arlington Road, Camden Town",24,51.539957,-0.145246
"St. Luke's Church, Chelsea",24,51.48971651,-0.170194408
"Stepney Green Station, Stepney",24,51.521889,-0.04667
"Stephendale Road, Sands End",24,51.46822047,-0.190346493
"Wapping Lane, Wapping",24,51.504749,-0.057544
"Shouldham Street, Marylebone",24,51.51809,-0.163609
"Vicarage Gate, Kensington",24,51.50472376,-0.192538767
"Royal Avenue 2, Chelsea",24,51.490083,-0.162418
"Vicarage Crescent, Battersea",24,51.47287627,-0.176267008
"Charlbert Street, St. John's Wood",24,51.53430039,-0.1680743
"Kennington Station, Kennington",24,51.488852,-0.105593
"Hoxton Street, Hoxton",24,51.52959,-0.0801
"Colombo Street, Southwark",24,51.50545935,-0.10569204
"Regency Street, Westminster",24,51.49206037,-0.132224622
"Jubilee Plaza, Canary Wharf",23,51.50357,-0.020068
"Hartington Road, Stockwell",23,51.47787084,-0.126874471
"Lambeth Road, Vauxhall",23,51.49488108,-0.117974901
"Park Lane, Mayfair",23,51.50542628,-0.150817316
"Hampton Street, Walworth",23,51.49217002,-0.101536865
"Durant Street, Bethnal Green",23,51.52868155,-0.065550321
"Orbel Street, Battersea",23,51.47453545,-0.170210533
"LSBU (Borough Road), Elephant & Castle",23,51.49874469,-0.103132904
"Lansdowne Road, Ladbroke Grove",23,51.50748124,-0.205535908
"Concert Hall Approach 1, South Bank",23,51.505044,-0.115851
"Surrey Lane, Battersea",23,51.47518024,-0.167160736
"Green Street, Mayfair",23,51.51227622,-0.157436972
"Abingdon Villas, Kensington",23,51.4973875,-0.197245586
"Pitfield Street Central, Hoxton",22,51.53213,-0.08299
"Borough High Street, The Borough",22,51.50069491,-0.094524319
"Clinton Road, Mile End",22,51.525941,-0.036017
"Bourne Street, Belgravia",22,51.490959,-0.1532331
"Albert Gardens, Stepney",22,51.51328,-0.047784
"Doddington Grove, Kennington",22,51.48692917,-0.102996299
"Grafton Street, Mayfair",22,51.5099923,-0.143495266
"Humbolt Road, Fulham",22,51.48321729,-0.211860644
"Belgrave Square, Belgravia",22,51.49941247,-0.152317537
"Fulham Park Road, Fulham",22,51.473471,-0.20782
"Denyer Street, Knightsbridge",22,51.49358391,-0.165101392
"North Audley Street, Mayfair",22,51.5129118,-0.153645496
"Ashley Crescent, Battersea",22,51.46718562,-0.152248582
"Danvers Street, West Chelsea",22,51.48256792,-0.172078187
"Rossmore Road, Marylebone",22,51.52526975,-0.163795009
"Albert Bridge Road, Battersea Park",22,51.47439218,-0.163347594
"Hollybush Gardens, Bethnal Green",21,51.527607,-0.057133
"Chelsea Green, Chelsea",21,51.49066456,-0.166485083
"Aston Street, Stepney",21,51.516,-0.038775
"Park Lane , Hyde Park",21,51.5100172,-0.157275636
"Sancroft Street, Vauxhall",21,51.48947903,-0.115156562
"Mile End Stadium, Mile End",21,51.51854104,-0.034903714
"West Kensington Station, West Kensington",21,51.49087074,-0.206029743
"Vereker Road, West Kensington",21,51.48959104,-0.209378594
"Curzon Street, Mayfair",21,51.50706909,-0.145904427
"Burdett Road, Mile End",21,51.516196,-0.029138
"St. Mark's Road, North Kensington",21,51.51687069,-0.213872396
"Claverton Street, Pimlico",21,51.48483991,-0.138089062
"Concert Hall Approach 2, South Bank",21,51.504942,-0.115533
